time,beta_t,HR_t,VE_t,VE_lower,VE_upper
0,-9.31797647935956,8.979542959234144e-5,99.99102045704078,-200.4509600662852,99.99999999999542
0.7537688442211056,-4.760031972598783,0.008565335537083494,99.14346644629165,44.34252517706895,99.999878656189
1.5075376884422111,-4.283158690649956,0.01379900638290505,98.62009936170949,54.4194412203155,99.99927453107064
2.261306532663317,-4.004205703114065,0.01823877050532704,98.1761229494673,57.524406079906385,99.99793561086177
3.0150753768844223,-3.8062854087011297,0.02223060338162652,97.77693966183735,60.08610720226158,99.99566450504253
3.7688442211055277,-3.65276650154066,0.025919323651240268,97.40806763487598,62.02571427624879,99.99229102485273
4.522613065326634,-3.527332421165239,0.029383193399688364,97.06168066003117,63.39914809046521,99.98766243216761
5.276381909547739,-3.4212794173219807,0.03267060884533451,96.73293911546655,64.49607583938402,99.98156823073111
6.030150753768845,-3.329412126752303,0.03581415306274703,96.4185846937253,65.4114561553572,99.97378815188222
6.78391959798995,-3.2483794336293483,0.038837094951595534,96.11629050484045,66.25962257577214,99.96423945157413
7.5376884422110555,-3.175893219591833,0.04175678943989508,95.82432105601049,67.32404889597615,99.95278553892265
8.291457286432161,-3.1103214629416733,0.04458662009021868,95.54133799097814,68.25730660464012,99.9393154761414
9.045226130653267,-3.0504591392164127,0.047337185042781414,95.26628149572186,69.08546402622508,99.92368738663566
9.798994974874372,-2.9953911395550494,0.050017059609588056,94.9982940390412,69.82775209001052,99.90591541133927
10.552763819095478,-2.9444061353731543,0.05263330759645523,94.73666924035447,70.49165076616006,99.88707095681373
11.306532663316583,-2.8969402320559428,0.05519183617285743,94.48081638271427,71.09329746895612,99.86625713088165
12.06030150753769,-2.852538844803476,0.057697649388229334,94.23023506117707,71.51183259418602,99.84332030823082
12.814070351758795,-2.810830152647858,0.060155033798023526,93.98449662019765,71.78380047449073,99.81819086480436
13.5678391959799,-2.771506151680522,0.06256769729689245,93.74323027031075,72.25344326725585,99.7901455704225
14.321608040201006,-2.734308837782222,0.06493887489341402,93.5061125106586,72.55530016272655,99.75873885205976
15.075376884422111,-2.6990199376430066,0.06727141061970951,93.27285893802905,72.8589196564942,99.72488695754612
15.829145728643217,-2.6654531478372636,0.06956782188152993,93.04321781184701,73.24484494152502,99.68877270834142
16.582914572864322,-2.6334481809928465,0.0718303506679183,92.81696493320817,73.48451705866614,99.64993124568551
17.33668341708543,-2.602866136515021,0.07406100477747682,92.59389952225231,73.60288834911435,99.60829450929165
18.090452261306535,-2.5735858572675854,0.0762615913557679,92.3738408644232,73.81968014137442,99.56379587006496
18.84422110552764,-2.5455010304825367,0.07843374443758162,92.15662555624183,73.89259270024476,99.51637003939919
19.597989949748744,-2.5185178576062226,0.08057894776202272,91.94210522379774,73.87682020370536,99.4659529877408
20.35175879396985,-2.4925531641446312,0.08269855382185487,91.73014461781452,73.85078098881155,99.41291103516616
21.105527638190956,-2.4675328534243275,0.08479379988471436,91.52062001152856,73.86492075581569,99.35810986841443
21.859296482412063,-2.443390631807271,0.08686582155820145,91.31341784417985,74.25881550604484,99.30037576215491
22.613065326633166,-2.420066950107116,0.0889156643468555,91.10843356531446,74.32757593499214,99.23965999944366
23.366834170854272,-2.397508118645826,0.09094429355512602,90.9055706444874,74.39182278247984,99.17591469932557
24.12060301507538,-2.3756655628546497,0.09295260281862704,90.70473971813729,74.45372871542685,99.10929375150616
24.874371859296485,-2.3544951934569562,0.09494142149048826,90.50585785095117,74.51344833855417,99.0397126041328
25.62814070351759,-2.333956870699031,0.09691152106639346,90.30884789336065,74.57112174203269,98.96700523240736
26.381909547738694,-2.3140139462638576,0.0988636207979348,90.11363792020653,74.62190551333896,98.89112840415281
27.1356783919598,-2.2946328697316947,0.10079839261702396,89.92016073829761,74.54750494497053,98.81203953095938
27.889447236180906,-2.2757828489719447,0.10271646547265233,89.72835345273477,74.47467227340542,98.72969664017108
28.643216080402013,-2.257435555833395,0.10461842916407363,89.53815708359264,74.40333346562858,98.63881404920373
29.396984924623116,-2.239564870070332,0.106504837740561,89.3495162259439,74.33341982085375,98.54280560059239
30.150753768844222,-2.22214665569418,0.10837621252657634,89.16237874734236,74.25880936632399,98.4410101948493
30.90452261306533,-2.205158564945042,0.110233044821932,88.9766955178068,74.2663784435793,98.3281391348453
31.658291457286435,-2.188579865888437,0.11207579831891822,88.79242016810818,74.16156200345422,98.2100462478025
32.41206030150754,-2.1723912903007485,0.11390491127207983,88.60950887279202,74.1858322574386,98.09411608113967
33.165829145728644,-2.1565748990440197,0.11572079845110336,88.42792015488966,74.24912162218097,97.98019958135568
33.91959798994975,-2.141113962571225,0.11752385290291997,88.247614709708,74.38077265733946,97.87022384245464
34.67336683417086,-2.1259928545661944,0.11931444754547758,88.06855524545225,74.47040056730111,97.75918934003097
35.42713567839196,-2.1111969570229037,0.12109293661256337,87.89070633874367,74.43752833685973,97.63102993877635
36.18090452261307,-2.096712575318759,0.12285965696646342,87.71403430335366,74.40261051981226,97.49846155717387
36.934673366834176,-2.0825268620451785,0.12461492929304309,87.53850707069569,74.36830648060788,97.36161177919121
37.68844221105528,-2.06862774853371,0.12635905919196,87.364094080804,74.39344207266976,97.22060212453735
38.44221105527638,-2.0550038831631405,0.12809233817312007,87.190766182688,74.29585992283154,97.07506312021263
39.19597989949749,-2.0416445756573958,0.1298150445691156,87.01849554308843,74.2595632323497,96.92494184781779
39.949748743718594,-2.028539746689415,0.13152744437220518,86.84725556277948,74.22385670842544,96.77065460341063
40.7035175879397,-2.0156798821958044,0.13322979200337984,86.67702079966202,74.11610145898858,96.63167149572871
41.45728643216081,-2.00305599188355,0.13492233102017748,86.50776689798225,73.97718962417184,96.48970933030449
42.21105527638191,-1.9906595714755007,0.13660529476914765,86.33947052308524,73.83385287662111,96.34565042280585
42.96482412060302,-1.9784825682975047,0.1382789069882033,86.17210930117966,73.78425595061609,96.19831574267567
43.718592964824126,-1.966517349858444,0.13994338236351894,86.0056617636481,73.81346844443114,96.0476874748745
44.47236180904523,-1.954756675116148,0.14159892704512705,85.8401072954873,73.77297579637349,95.893747964090693
45.22613065326633,-1.943193668158289,0.1432457391249238,85.67542608750762,73.74672501588591,95.73647971059023
45.97989949748744,-1.931821794058723,0.14488400908040341,85.51159909195965,73.71508839521694,95.5758653662426
46.733668341708544,-1.920634836696999,0.14651392018709902,85.34860798129009,73.80106278039759,95.4370559868554
47.48743718592965,-1.909626878352546,0.14813564890240494,85.1864351097595,73.89258274746736,95.32627872317863
48.24120603015076,-1.8987922809058229,0.14974936522318852,85.02506347768116,73.8656293531977,95.21263631397753
48.99497487437186,-1.8881256684969259,0.1513552330193615,84.86447669806385,73.74701417234556,95.0468577970385
49.74874371859297,-1.8776219115081294,0.1529534103453716,84.70465896546284,73.70384506266387,94.79520873303525
50.502512562814076,-1.867276111750884,0.1545440497313883,84.54559502686116,73.66196002513203,94.53482577695851
51.25628140703518,-1.8570835887502044,0.1561272984557877,84.38727015442123,73.54884011509897,94.2655418506625
52.01005025125628,-1.8470398670303037,0.157703298800396,84.2296701199604,73.36295433557271,94.01472539681443
52.76381909547739,-1.8371406643150312,0.15927218828981493,84.0727811710185,73.20067150839819,93.80312243310414
53.517587939698494,-1.827381880565242,0.16083409991603612,83.91659000839638,73.08886664964051,93.58663301834301
54.2713567839196,-1.8177595877828683,0.16238916234944026,83.76108376505597,72.97803372123492,93.37748851179352
